Title,HoursPlayed,Release,Aquired,Beta,Type,Finished,Replayed,Progress,AchUnlocked,AchTotal,Mode,Platform,App,Payment,Digital,Discount,PreOrder
Age of Empires II: HD Edition,0,2013,29-12-2014,Release,Strategy,0,0,0,0,259,Both,PC,Steam,Purchased,1,1,0
Awesomenauts,2,2012,07-01-2013,Release,Plataformer MOBA,0,0,14,8,58,Multiplayer,PC,Steam,Purchased,1,1,0
Batman: Arkham Asylum,2,2010,28-06-2015,Release,Superhero,0,0,9,4,47,Singleplayer,PC,Steam,Purchased,1,1,0
Batman: Arkham City,0,2012,25-06-2014,Release,Superhero,0,0,0,0,58,Singleplayer,PC,Steam,Purchased,1,1,0
Batman: Arkham Origins,0,2013,25-06-2014,Release,Superhero,0,0,0,0,54,Singleplayer,PC,Steam,Purchased,1,1,0
Battlefield: Bad Company 2,60,2010,19-05-2011,Release,FPS,1,0,75,0,0,Both,PC,Steam,Purchased,1,0,0
BioShock Infinite,70,2013,25-03-2014,Release,FPS,1,1,75,60,80,Singleplayer,PC,Steam,Purchased,1,0,0
Borderlands,45,2009,03-11-2011,Release,FPS,0,0,46,37,80,Both,PC,Steam,Purchased,1,1,0
Chaos on Deponia,17,2012,26-12-2013,Release,Point and Click,1,0,47,16,34,Singleplayer,PC,Steam,Purchased,1,0,0
Demon Souls,2,2009,01-06-2014,Release,Action RPG,0,0,5,0,0,Both,PS3,Console,Borrowed,0,0,0
Dark Souls I,20,2011,20-03-2016,Release,Action RPG,0,0,50,0,0,Both,PS3,Console,Purchased,0,1,0
Dark Souls III,7,2016,03-05-2016,Release,Action RPG,0,0,12,5,43,Both,PC,Steam,Purchased,1,0,0
DayZ,50,2013,17-12-2013,Beta,Survival,0,0,0,0,0,Multiplayer,PC,Steam,Purchased,1,0,0
Deponia,14,2012,22-12-2013,Release,Adventure,1,0,74,14,19,Singleplayer,PC,Steam,Purchased,1,1,0
Deus Ex: GOTY Edition,2,2000,26-11-2012,Release,FPS RPG,1,0,5,0,0,Singleplayer,PC,Steam,Purchased,1,1,0
Deus Ex: Human Revolution,80,2011,26-11-2012,Release,FPS RPG,0,1,82,40,49,Singleplayer,PC,Steam,Purchased,1,1,0
Deus Ex: The Missing Link,9,2011,26-11-2012,Release,FPS RPG,1,0,80,8,10,Singleplayer,PC,Steam,Purchased,1,1,0
Deus Ex: Invisible War,0,2004,26-11-2012,Release,FPS RPG,0,0,0,0,0,Singleplayer,PC,Steam,Purchased,1,1,0
Dota 2,402,2012,13-04-2012,Beta,MOBA,0,0,0,0,0,Multiplayer,PC,Steam,Free to Play,1,0,0
Dragon Ball Xenoverse,20,2015,22-07-2015,Release,Fighting,0,0,20,10,50,Both,PC,Steam,Purchased,1,1,0
Dungeon Defenders,20,2011,25-01-2015,Release,Tower Defense,0,0,11,11,104,Both,PC,Steam,Purchased,1,1,0
E.Y.E Divine Cybermancy,2,2011,16-03-2012,Release,FPS,0,0,2,2,100,Both,PC,Steam,Purchased,1,1,0
The Elder Scrolls IV: Oblivion,450,2006,23-05-2007,Release,Action RPG,1,1,90,0,0,Singleplayer,PC,Cracked,Pirated,0,0,0
The Elder Scrolls V: Skyrim,300,2011,15-11-2012,Release,Action RPG,1,1,87,65,75,Singleplayer,PC,Steam,Purchased,1,1,0
Fallout 3,350,2008,23-05-2009,Release,FPS RPG,1,1,85,0,0,Singleplayer,PC,Cracked,Pirated,0,0,0
Fallout 4,150,2015,26-02-2016,Release,FPS RPG,0,0,47,32,68,Singleplayer,PC,Steam,Purchased,1,0,0
Far Cry 3,70,2012,10-01-2014,Release,FPS,1,1,80,0,0,Singleplayer,PC,Cracked,Pirated,0,0,0
Far Cry 4,20,2014,29-02-2016,Release,FPS,0,0,25,0,0,Singleplayer,PC,Steam,Purchased,1,0,0
Goodbye Deponia,13,2013,26-12-2013,Release,Point and Click,1,0,58,29,50,Singleplayer,PC,Steam,Purchased,1,0,0
I Have No Mouth and I Must Scream,6,1996,18-02-2016,Release,Point and Click,0,0,25,0,0,Singleplayer,PC,Steam,Purchased,1,0,0
Left 4 Dead 2,40,2009,06-12-2010,Beta,FPS,1,0,37,26,70,Both,PC,Steam,Purchased,1,1,0
The Legend of Korra,8,2014,02-12-2014,Release,Beat em Up,1,0,50,15,30,Both,PC,Steam,Purchased,1,0,0
Madballs in Babo: Invasion,4,2009,09-04-2012,Release,Shooter,0,0,6,1,17,Multiplayer,PC,Steam,Purchased,1,0,0
Magicka,25,2011,19-05-2011,Release,Comedy Adventure,1,0,50,44,88,Both,PC,Steam,Free to Play,1,0,0
Metro 2033,1,2010,13-12-2012,Release,FPS,0,0,4,2,48,Singleplayer,PC,Steam,Free to Play,1,0,0
Monaco,1,2013,22-06-2014,Release,Action Stealth,0,0,0,0,0,Multiplayer,PC,Steam,Purchased,1,0,0
Orion: Prelude,0,2012,21-06-2014,Release,FPS,0,0,0,0,245,Multiplayer,PC,Steam,Purchased,1,0,0
Outlast,10,2013,01-11-2015,Release,Horror Survival,0,0,0,0,15,Singleplayer,PC,Steam,Purchased,1,0,0
Payday 2,20,2013,27-07-2014,Release,Stealth FPS,0,0,6,24,408,Multiplayer,PC,Steam,Purchased,1,1,0
Planet Explorers,1,2014,25-07-2014,Beta,MMORPG,0,0,5,0,0,Multiplayer,PC,Steam,Purchased,1,0,0
Portal,4,2007,18-10-2007,Release,Puzzle,1,1,100,0,0,Singleplayer,PC,Steam,Purchased,1,1,0
Portal 2,15,2011,24-12-2012,Release,Puzzle,1,0,70,35,51,Both,PC,Steam,Purchased,1,0,0
Red Orchestra 2,2,2011,24-04-2014,Release,FPS,0,0,0,0,0,Both,PC,Steam,Purchased,1,1,0
Risk of Rain,8,2013,06-11-2014,Release,Platform Survival,0,0,0,0,15,Both,PC,Steam,Purchased,1,0,0
Rogue Legacy,2,2013,23-06-2014,Release,Platform,0,0,4,1,28,Singleplayer,PC,Steam,Purchased,1,1,0
Rust,50,2013,02-08-2014,Beta,Survival,0,0,60,0,0,Multiplayer,PC,Steam,Purchased,1,1,0
Sanctum,1,2011,07-07-2011,Release,Tower Defense,0,0,2,2,100,Both,PC,Steam,Purchased,1,1,0
Sonic & All-Star Racing Transformed,14,2013,15-02-2016,Release,Racing,1,0,42,21,50,Both,PC,Steam,Purchased,1,1,0
Space Engineers,0,2013,30-11-2015,Beta,Survival,0,0,0,0,0,Both,PC,Steam,Purchased,1,1,0
The Stanley Parable,2,2013,21-06-2014,Release,Exploration,1,1,30,3,10,Singleplayer,PC,Steam,Purchased,1,0,0
Team Fortress 2,108,2007,07-09-2011,Release,FPS,0,0,14,72,518,Multiplayer,PC,Steam,Free to Play,1,0,0
Terraria,100,2011,10-07-2011,Release,Platform Survival,1,0,50,44,88,Both,PC,Steam,Purchased,1,1,0
Trine,15,2009,22-12-2013,Release,Platform Adventure,1,0,46,15,33,Both,PC,Steam,Purchased,1,1,0
Trine 2,0,2013,22-12-2013,Release,Platform Adventure,0,0,0,0,97,Both,PC,Steam,Purchased,1,1,0
Undertale,1,2015,18-02-2016,Release,RPG,0,0,5,0,0,Singleplayer,PC,Steam,Purchased,1,0,0
The Witness,1,2016,25-03-2016,Release,Puzzle,0,0,5,0,0,Singleplayer,PC,Cracked,Pirated,1,0,0
Warhammer 40.000: Dawn of War II,6,2009,30-03-2015,Release,Strategy,0,0,16,12,73,Both,PC,Steam,Purchased,1,1,0
The Witcher 2,1,2011,22-12-2013,Release,Action RPG,0,0,0,0,52,Singleplayer,PC,Steam,Purchased,1,1,0
Worms Ultimate Mayhem,2,2011,22-12-2013,Release,Strategy,0,0,5,2,38,Both,PC,Steam,Purchased,1,1,0
League of Legends,1600,2009,21-10-2009,Beta,MOBA,0,0,80,0,0,Multiplayer,PC,Launcher,Free To Play,1,0,0
World of Warcraft,320,2004,20-12-2006,Release,MMORPG,0,0,70,0,0,Multiplayer,PC,Battle.net,Subcription,1,0,0
Hearthstone,120,2014,25-09-2014,Release,Card Game,0,0,40,0,0,Both,PC,Battle.net,Free to Play,1,0,0
Diablo III,160,2012,15-05-2012,Release,Dungeon Crawler,1,1,80,0,0,Both,PC,Battle.net,Purchased,1,0,1
Warcraft III,600,2002,15-08-2005,Release,Strategy,1,1,100,0,0,Both,PC,Battle.net,Purchased,0,0,0
Heroes of the Storm,60,2015,30-08-2015,Release,MOBA,0,0,20,0,0,Multiplayer,PC,Battle.net,Free to Play,1,0,0
Overwatch,20,2016,24-05-2016,Beta,FPS,0,0,5,0,0,Multiplayer,PC,Battle.net,Purchased,1,0,1
Dragon Age: Origins,400,2009,26-12-2009,Release,RPG,1,1,90,0,0,Singleplayer,PC,Origin,Purchased,1,1,0
Dragon Age II,60,2011,30-12-2013,Release,RPG,1,0,70,0,0,Singleplayer,PC,Origin,Purchased,1,1,0
Dragon Age: Inquisition,60,2014,18-11-2014,Release,RPG,0,0,30,0,0,Singleplayer,PC,Origin,Purchased,1,0,1
Watchdogs,45,2014,02-01-2016,Release,Action Adventure,0,0,35,0,0,Both,PS3,Console,Purchased,0,1,0
Heavy Rain,80,2010,01-06-2014,Release,Interactive Drama,1,1,85,0,0,Singleplayer,PS3,Console,Borrowed,0,0,0
L.A Noire,50,2011,01-06-2014,Release,Action Adventure,1,0,85,0,0,Singleplayer,PS3,Console,Borrowed,0,0,0
Adventure Time: Explore this Dungeon Because I Don't Know,4,2013,02-01-2016,Release,Dungeon Crawler,0,0,10,0,0,Both,PS3,Console,Purchased,0,1,0
Grand Theft Auto V,80,2013,01-06-2014,Release,Action Adventure,1,0,70,0,0,Both,PS3,Console,Borrowed,0,0,0
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
